ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published(est)
FOREX:EUR,0.10607,0.104912,Neutral,2023-10-17 07:17:00-04:00
FOREX:EUR,0.020668,-0.221215,Somewhat-Bearish,2023-10-17 07:04:46-04:00
FOREX:EUR,0.11983,-0.140534,Neutral,2023-10-17 06:06:35-04:00
FOREX:EUR,0.076847,0.015469,Neutral,2023-10-17 04:22:47-04:00
FOREX:EUR,0.080728,0.11611,Neutral,2023-10-17 03:58:43-04:00
FOREX:EUR,0.139265,0.108065,Neutral,2023-10-17 03:22:45-04:00
FOREX:EUR,0.128822,0.108688,Neutral,2023-10-17 03:22:42-04:00
FOREX:EUR,0.047278,-0.086924,Neutral,2023-10-17 03:05:00-04:00
FOREX:EUR,0.087503,0.067379,Neutral,2023-10-17 01:30:00-04:00
FOREX:EUR,0.087503,0.067379,Neutral,2023-10-17 01:30:00-04:00
FOREX:EUR,0.087027,-0.146897,Neutral,2023-10-17 01:19:17-04:00
FOREX:EUR,0.170878,-0.09597,Neutral,2023-10-17 00:56:00-04:00
FOREX:EUR,0.170878,-0.09597,Neutral,2023-10-17 00:56:00-04:00
FOREX:EUR,0.075635,0.0,Neutral,2023-10-17 00:12:26-04:00
FOREX:EUR,0.068306,0.0,Neutral,2023-10-16 23:32:39-04:00
FOREX:EUR,0.085629,-0.009453,Neutral,2023-10-16 21:50:15-04:00
FOREX:EUR,0.073098,0.0,Neutral,2023-10-16 21:13:44-04:00
FOREX:EUR,0.074692,0.111717,Neutral,2023-10-16 18:15:00-04:00
FOREX:EUR,0.24289,-0.201126,Somewhat-Bearish,2023-10-16 17:47:00-04:00
FOREX:EUR,0.11983,-0.066452,Neutral,2023-10-16 17:18:05-04:00
FOREX:EUR,0.127456,-0.003504,Neutral,2023-10-16 17:10:00-04:00
FOREX:EUR,0.099066,-0.016166,Neutral,2023-10-16 17:00:29-04:00
FOREX:EUR,0.067727,-0.267428,Somewhat-Bearish,2023-10-16 17:00:00-04:00
FOREX:EUR,0.366061,0.360742,Bullish,2023-10-16 17:00:00-04:00
FOREX:EUR,0.102449,-0.016345,Neutral,2023-10-16 17:00:00-04:00
FOREX:EUR,0.024904,-0.065989,Neutral,2023-10-16 16:55:24-04:00
FOREX:EUR,0.198221,-0.104931,Neutral,2023-10-16 16:51:00-04:00
FOREX:EUR,0.140076,-0.0466,Neutral,2023-10-16 16:51:00-04:00
FOREX:EUR,0.059341,0.229054,Somewhat-Bullish,2023-10-16 16:13:49-04:00
FOREX:EUR,0.18967,-0.145589,Neutral,2023-10-16 15:36:45-04:00
FOREX:EUR,0.18967,-0.145589,Neutral,2023-10-16 15:36:00-04:00
FOREX:EUR,0.014298,0.052133,Neutral,2023-10-16 14:56:01-04:00
FOREX:EUR,0.733479,0.375389,Bullish,2023-10-16 14:22:54-04:00
FOREX:EUR,0.608634,0.610335,Bullish,2023-10-16 13:54:00-04:00
FOREX:EUR,0.121037,0.128534,Neutral,2023-10-16 12:29:47-04:00
FOREX:EUR,0.027667,0.030903,Neutral,2023-10-16 12:15:00-04:00
FOREX:EUR,0.276909,-0.075348,Neutral,2023-10-16 12:14:00-04:00
FOREX:EUR,0.12546,0.194903,Somewhat-Bullish,2023-10-16 10:38:11-04:00
FOREX:EUR,0.091162,0.172644,Somewhat-Bullish,2023-10-16 10:38:00-04:00
FOREX:EUR,0.343279,0.0,Neutral,2023-10-16 09:02:00-04:00
FOREX:EUR,0.07844,0.155455,Somewhat-Bullish,2023-10-16 09:01:00-04:00
FOREX:EUR,0.130217,0.124625,Neutral,2023-10-16 08:44:21-04:00
FOREX:EUR,0.064797,0.227571,Somewhat-Bullish,2023-10-16 07:21:00-04:00
FOREX:EUR,0.18967,-0.003079,Neutral,2023-10-16 07:12:00-04:00
FOREX:EUR,0.11983,0.055936,Neutral,2023-10-16 06:15:00-04:00
FOREX:EUR,0.071784,0.123806,Neutral,2023-10-16 03:32:00-04:00
FOREX:EUR,0.297061,0.230674,Somewhat-Bullish,2023-10-16 03:31:00-04:00
